Time,agent_x,agent_y,agent_theta,1_x,1_y,1_theta
1504505441.78,42.4554830151,1.99909237973,-2.6731086596e-05,110.63003236750544,5.9314359160095895,-0.0009302480443484458
1504505441.86,42.8395837284,1.9990714278,-2.68533618193e-05,110.91030623607479,5.930914541684187,-0.000930281532023566
1504505441.92,43.5599208259,1.99903242187,-2.69734181494e-05,111.21124255081745,5.930354401759289,-0.000930355240161796
1504505441.99,44.2441515616,1.99899485492,-2.71945803551e-05,111.49353827467084,5.92988827193124,-0.0009250988170163668
1504505442.06,44.8684246799,1.99896081785,-2.72165063895e-05,111.8237814539378,5.929166325434446,-0.0009227916595832392
1504505442.13,45.5887024615,1.9989209122,-2.74039301551e-05,112.39872154393308,5.928147976708619,-0.0009270664871237441
1504505442.2,45.8408164676,1.9989070877,-2.74108148508e-05,112.68583927254049,5.9276166624479005,-0.0009263336694558816
1504505442.26,46.5970882023,1.99886489562,-2.76257357444e-05,112.95914647173961,5.927095700599566,-0.0009257285970460117
1504505442.32,47.4614314331,1.9988166567,-2.77802211978e-05,113.2459430600227,5.926561603677466,-0.000925494857155804
1504505442.39,47.7375399245,1.99880123698,-2.78223313839e-05,113.7922649825308,5.925560157441844,-0.0009258531391495352
1504505442.46,48.3497999395,1.99876692548,-2.78887739456e-05,113.7922649825308,5.925560157441844,-0.0009258531391495352
1504505442.53,49.070199794,1.99872609772,-2.80910702102e-05,114.35962493519393,5.924505491782922,-0.0009255748998502646
1504505442.61,49.598155254,1.9986958864,-2.81974565128e-05,114.63955633337937,5.923987081292579,-0.0009256566773879647
1504505442.68,50.2826371829,1.99865676359,-2.84199965323e-05,114.9548889921408,5.9234041397741,-0.0009257458975883439
1504505442.74,50.8947379468,1.99862132342,-2.86134491737e-05,115.45898672172679,5.922471034411796,-0.0009256496185362426
1504505442.81,51.4221702216,1.99859102915,-2.90967361759e-05,115.78812450678409,5.921861148337073,-0.0009258197685152856
1504505442.88,52.218229367,1.99854465988,-2.9225393947e-05,116.1102207009809,5.92126495289776,-0.0009257388139505362
1504505442.94,52.4711234067,1.99852961624,-2.88493756598e-05,116.42540177615577,5.9206816468886725,-0.00092571033906851
1504505443.02,53.3716080955,1.99847830555,-2.876200802e-05,116.72643634580666,5.920124076408945,-0.0009258013955025661
1504505443.09,54.0921288763,1.9984367199,-2.88433386566e-05,117.29366307587465,5.919073609185848,-0.0009258488501134216
1504505443.17,54.3681247353,1.99842070256,-2.89063519677e-05,117.58084915448835,5.91854194363574,-0.0009258031428587417
1504505443.24,54.3681247353,1.99842070256,-2.89063519677e-05,117.86793162448512,5.918010069776248,-0.0009259149110451323
1504505443.3,55.6645775793,1.99834525269,-2.90045006981e-05,118.12000820756691,5.917543106240507,-0.0009259825140586721
1504505443.37,56.2769253823,1.99830960822,-2.90817151138e-05,118.70823346912967,5.916454020434682,-0.0009258910706668143
1504505443.44,57.0330958856,1.99826544046,-2.91293096796e-05,118.96739019838756,5.915973732408455,-0.0009260233233335023
1504505443.52,57.573449717,1.99823326057,-2.93792219788e-05,119.28248013848976,5.915389871949732,-0.0009261105005993188
1504505443.58,57.825511697,1.99821828308,-2.94148786003e-05,119.59762377433182,5.91480650937192,-0.0009260040168273235
1504505443.65,58.7138861873,1.99816561808,-2.95913660044e-05,119.88473748861527,5.914274778102758,-0.0009259967568925146
1504505443.72,58.9659666943,1.99815061529,-2.96182492958e-05,120.18583663761513,5.913716759984572,-0.000926136444178237
1504505443.79,60.0343991733,1.99808650686,-2.98608812981e-05,120.82308517183999,5.912536574340884,-0.000926077925213093
1504505443.86,60.6705779306,1.99804833736,-2.98903898389e-05,120.82308517183999,5.912536574340884,-0.000926077925213093
1504505443.93,60.9827581043,1.99802940212,-3.00463344806e-05,121.40431700392818,5.911459371471848,-0.0009262809116803495
1504505444.0,61.5829472284,1.99799326518,-3.0051554874e-05,121.71246129605214,5.910888613913903,-0.0009262414876262268
1504505444.07,62.3152904749,1.9979483087,-3.0300581453e-05,121.99255998168763,5.910369952197075,-0.0009261681598086043
1504505444.14,63.0115144227,1.9979057307,-3.040347775e-05,122.55979444903103,5.909318627059742,-0.0009263785392527497
1504505444.21,63.2756510378,1.99788962022,-3.05001686125e-05,122.83988683775677,5.908799832028109,-0.0009263271186565772
